electric,GDP,Imports,Exports,Credits,India,GDPP
265.6394,6.46E+12,1.51E+12,1.25E+12,5.61E+12,0.00E+00,6.464384
2014.477,4.09E+11,4.24E+10,1.01E+11,1.94E+11,0.00E+00,-10.8945
2180.327,4.45E+11,5.83E+10,1.07E+11,1.89E+11,0.00E+00,8.837041
2293.309,4.85E+11,8.17E+10,1.16E+11,2.02E+11,0.00E+00,9.029573
2408.433,5.28E+11,9.47E+10,1.31E+11,2.02E+11,0.00E+00,8.85166
2374.097,5.71E+11,1.05E+11,1.38E+11,1.99E+11,0.00E+00,8.047152
2455.657,6.22E+11,1.26E+11,1.49E+11,2.27E+11,0.00E+00,9.007651
2772.843,6.47E+11,1.43E+11,1.50E+11,2.47E+11,0.00E+00,4.057233
2730.123,6.09E+11,1.16E+11,1.36E+11,3.15E+11,0.00E+00,-5.91853
2877.653,6.71E+11,1.57E+11,1.55E+11,4.14E+11,0.00E+00,10.1254
2929.075,7.11E+11,1.92E+11,1.62E+11,5.66E+11,0.00E+00,6.003952
6900.781,2.40E+12,6.43E+11,7.33E+11,3.05E+12,0.00E+00,0
7.01E+03,2.38E+12,6.80E+11,7.46E+11,3.04E+12,0.00E+00,-0.70991
7.11E+03,2.41E+12,7.34E+11,8.32E+11,3.05E+12,0.00E+00,1.16997
7.14E+03,2.43E+12,7.76E+11,8.87E+11,3.05E+12,0.00E+00,0.706714
7.21E+03,2.52E+12,8.63E+11,9.96E+11,3.05E+12,0.00E+00,3.70016
7.23E+03,2.60E+12,9.16E+11,1.09E+12,3.03E+12,0.00E+00,3.260535
7.19E+03,2.63E+12,9.37E+11,1.11E+12,3.13E+12,0.00E+00,1.082315
6.82E+03,2.48E+12,8.47E+11,9.52E+11,3.16E+12,0.00E+00,-5.61886
7.26E+03,2.58E+12,9.56E+11,1.09E+12,4.25E+12,0.00E+00,4.079933
7.28E+03,2.67E+12,1.02E+12,1.18E+12,4.38E+12,0.00E+00,3.66
2820.551,5.55E+11,3.62E+11,4.85E+11,5.50E+11,0.00E+00,5.390988
2914.674,5.87E+11,3.78E+11,5.10E+11,5.86E+11,0.00E+00,5.788499
2984.361,6.26E+11,4.53E+11,5.92E+11,6.04E+11,0.00E+00,6.783438
2873.735,6.60E+11,4.93E+11,6.41E+11,6.40E+11,0.00E+00,5.332139
3065.572,6.97E+11,5.33E+11,6.84E+11,6.84E+11,0.00E+00,5.584847
3272.896,7.41E+11,5.65E+11,7.14E+11,7.28E+11,0.00E+00,6.298786
3286.091,7.76E+11,5.79E+11,7.26E+11,8.53E+11,0.00E+00,4.83177
3942.089,7.65E+11,5.05E+11,6.47E+11,9.34E+11,0.00E+00,-1.51353
4145.521,8.21E+11,5.83E+11,7.14E+11,1.01E+12,0.00E+00,7.424847
4102.621,8.65E+11,6.20E+11,7.44E+11,1.13E+12,0.00E+00,5.293913
1843.964,1.29E+13,3.49E+12,3.10E+12,2.68E+12,0.00E+00,-0.03984
2001.018,1.31E+13,3.58E+12,3.16E+12,2.78E+12,0.00E+00,1.446383
1927.074,1.36E+13,4.01E+12,3.69E+12,2.85E+12,0.00E+00,3.920591
1996.393,1.39E+13,4.36E+12,3.98E+12,2.96E+12,0.00E+00,2.307807
2020.953,1.45E+13,4.36E+12,3.98E+12,3.42E+12,0.00E+00,4.495078
2047.531,1.48E+13,4.57E+12,4.06E+12,3.80E+12,0.00E+00,2.291446
2046.694,1.50E+13,4.72E+12,4.02E+12,3.89E+12,0.00E+00,1.143585
1995.298,1.42E+13,3.97E+12,3.58E+12,4.28E+12,0.00E+00,-5.28574
2018.827,1.49E+13,4.65E+12,4.38E+12,4.62E+12,0.00E+00,5.118118
2216.906,1.55E+13,4.91E+12,4.72E+12,5.03E+12,0.00E+00,3.663008
24620.34,2.30E+12,5.15E+11,1.05E+12,1.42E+12,0.00E+00,1.437709
23201.39,2.32E+12,5.21E+11,1.05E+12,1.50E+12,0.00E+00,0.919842
24214.11,2.41E+12,5.68E+11,1.06E+12,1.67E+12,0.00E+00,3.959038
25083.21,2.47E+12,6.13E+11,1.06E+12,1.91E+12,0.00E+00,2.624721
24099.93,2.53E+12,6.69E+11,1.05E+12,2.09E+12,0.00E+00,2.395092
24855,2.61E+12,7.36E+11,1.07E+12,2.51E+12,0.00E+00,2.985055
24866.13,2.62E+12,7.59E+11,1.07E+12,2.79E+12,0.00E+00,0.480744
23859.71,2.58E+12,6.81E+11,1.02E+12,2.76E+12,0.00E+00,-1.691
24890.92,2.59E+12,7.38E+11,1.03E+12,2.92E+12,0.00E+00,0.691663
23510.38,2.62E+12,7.67E+11,1.02E+12,3.14E+12,0.00E+00,0.971935
303.1085,3.97E+12,1.18E+12,9.90E+11,6.85E+11,0.00E+00,3.964676
326.2582,4.20E+12,1.31E+12,1.02E+12,7.48E+11,0.00E+00,5.940269
354.3584,4.43E+12,1.43E+12,1.10E+12,8.99E+11,0.00E+00,5.445061
400.1026,4.71E+12,1.46E+12,1.18E+12,1.07E+12,0.00E+00,6.241748
403.0773,5.07E+12,1.56E+12,1.22E+12,1.37E+12,0.00E+00,7.668292
420.3196,5.41E+12,1.62E+12,1.31E+12,1.59E+12,0.00E+00,6.796826
426.3915,5.73E+12,1.69E+12,1.31E+12,1.89E+12,0.00E+00,5.950088
425.1247,5.94E+12,1.53E+12,1.15E+12,1.89E+12,0.00E+00,3.538912
459.6842,6.41E+12,1.72E+12,1.25E+12,2.28E+12,0.00E+00,8.015967
502.1406,6.95E+12,2.13E+12,1.38E+12,3.87E+12,0.00E+00,8.404733
6142.75,1.43E+12,3.93E+11,3.53E+11,1.51E+12,0.00E+00,2.499727
6174.551,1.47E+12,4.05E+11,3.64E+11,1.65E+12,0.00E+00,3.339456
6138.754,1.51E+12,4.32E+11,3.84E+11,1.84E+12,0.00E+00,2.347792
6270.984,1.56E+12,4.63E+11,4.14E+11,2.03E+12,0.00E+00,3.148724
6200.554,1.60E+12,5.09E+11,4.64E+11,2.28E+12,0.00E+00,2.548078
6102.397,1.64E+12,4.97E+11,4.60E+11,2.64E+12,0.00E+00,2.545501
6015.727,1.63E+12,4.88E+11,4.62E+11,3.06E+12,0.00E+00,-0.34586
5643.129,1.56E+12,4.46E+11,4.23E+11,3.20E+12,0.00E+00,-4.24661
5700.856,1.59E+12,4.82E+11,4.47E+11,3.26E+12,0.00E+00,1.711206
5471.924,1.61E+12,4.86E+11,4.76E+11,3.22E+12,0.00E+00,1.64477
,,,,,,
,,,,,,
